First,Last,birthyear,SLpM,StrAcc,SApM,StrDef,TDAvg,TDAcc,TDDef,SubAvg
Victor,Valenzuela,,1.28,100%,2.55,0%,0,0%,0%,0
Charlie,Valencia,1974,2.58,37%,2.61,77%,1.4,53%,75%,0.5
Genaro,Valdez,1992,4.08,30%,7.16,48%,1.54,44%,36%,0.4
Egidijus,Valavicius,,0,0%,0,0%,0,0%,0%,0
Richie,Vaculik,1983,3.69,46%,4.09,57%,3,45%,31%,1
Darren,Uyenoyama,1979,1.34,39%,2.21,66%,1.42,33%,35%,0.7
Mohammed,Usman,1989,2.92,40%,3.96,52%,1.26,18%,0%,0
Kamaru,Usman,1987,4.36,52%,2.74,54%,2.82,45%,89%,0.1
Sho Patrick,Usami,2000,0,0%,0,0%,0,0%,0%,0
Yasuhiro,Urushitani,1976,3.47,39%,4.71,65%,0,0%,80%,0
Nick,Urso,1985,3.61,45%,5.06,36%,0,0%,0%,0
Gilbert,Urbina,1996,6.33,60%,4.09,47%,3.96,50%,0%,1
Elias,Urbina,1993,3.85,37%,6.17,50%,0,0%,0%,0
Hector,Urbina,1987,0.97,38%,2.44,39%,0,0%,38%,3.8
Logan,Urban,1994,2.55,66%,16.6,27%,0,0%,0%,0
Kengo,Ura,1981,1.05,37%,2.38,48%,2.85,28%,50%,1.4
Caol,Uno,1975,1.91,49%,1.9,50%,1.95,31%,37%,0.5
Zach,Underwood,,0,0%,0,0%,0,0%,0%,0
Jeremy,Umphries,,0,0%,0,0%,0,0%,0%,0
Gasan,Umalatov,1982,2.23,39%,4.1,59%,0.75,17%,90%,0
Carlos,Ulberg,1990,7.29,59%,3.59,52%,0.95,75%,75%,0.3
Tagir,Ulanbekov,1991,3.35,44%,3.29,54%,3.81,42%,61%,0.9
Andy,Uhrich,,0,0%,0,0%,0,0%,0%,0
Christian,Uflacker,1985,0,0%,0,0%,0,0%,0%,0
Ryuki,Ueyama,1976,0.13,21%,1.4,46%,0.5,100%,0%,1.5
Alberto,Uda,1984,1.79,52%,3.49,45%,2.83,50%,66%,0
Takeru,Uchida,2002,0,0%,0,0%,0,0%,0%,4.4
Marcin,Tybura,1985,3.55,48%,3.35,55%,1.39,33%,79%,0.1
Austin,Tweedy,1990,4.29,66%,6.43,0%,0,0%,0%,0
Jalin,Turner,1995,5.82,48%,4.61,41%,0.91,55%,75%,1.3
Courtney,Turner,,0,0%,0,0%,0,0%,0%,0
Wellington,Turman,1996,3.04,49%,3.87,46%,1.49,19%,45%,0.8
Anton,Turkalj,1996,1.72,53%,2.48,49%,6.55,51%,16%,0
Ricky,Turcios,1993,5.08,37%,3.7,55%,1,25%,45%,0.2
Albert,Tumenov,1991,3.76,42%,3.34,58%,0.2,20%,75%,0
Nyamjargal,Tumendemberel,1998,4.43,44%,3.62,45%,4.68,38%,14%,3.7
Marco,Tulio,1994,3.2,48%,2.2,52%,2,25%,0%,1
Teila,Tuli,1969,0,0%,0,0%,0,0%,0%,0
Zubaira,Tukhugov,1991,3.17,39%,3.07,63%,2.13,39%,100%,0
Tai,Tuivasa,1993,3.98,49%,4.98,43%,0,0%,54%,0
Blair,Tugman,,2.25,53%,0.93,50%,7.5,60%,0%,0
Tom,Tuggle,,0,0%,2.14,0%,32.14,100%,0%,0
Jumabieke,Tuerxun,1986,1.6,28%,3.08,59%,0.47,11%,66%,0.9
Gavin,Tucker,1986,4.29,44%,4.18,57%,3.13,44%,53%,1.5
Jon,Tuck,1984,3,40%,3.74,60%,0.42,33%,50%,1
Chris,Tuchscherer,1975,1.35,31%,3.17,47%,1.19,18%,0%,0.6
Rei,Tsuruya,2002,2.91,63%,1.64,42%,7.74,57%,50%,2.8
Arman,Tsarukyan,1996,3.82,48%,1.91,54%,3.43,36%,75%,0
Abel,Trujillo,1983,2.65,41%,2.31,59%,2.18,45%,40%,0.4
Reynaldo,Trujillo,1982,0,0%,0,0%,0,0%,0%,0
Aaron,Trujillo,,0,0%,0,0%,0,0%,0%,0
Tor,Troeng,1983,1.16,46%,3.26,32%,0.62,7%,66%,0.3
Antonio,Trocoli,1990,1.27,71%,4.56,25%,3.8,100%,100%,3.8
Michael,Trizano,1991,3.63,53%,4.4,50%,0.36,66%,72%,0.5
Damien,Trites,1979,0,0%,0,0%,0,0%,0%,0
Francisco,Trinaldo,1978,3.13,45%,2.67,60%,0.98,42%,60%,0.5
Frank,Trigg,1972,2.79,46%,1.9,56%,2.35,47%,75%,0.8
Angelo,Trevino,1993,5.19,54%,3.9,47%,0,0%,100%,0
Francisco,Trevino,1981,2.65,42%,2.42,64%,0.97,22%,41%,0
Alexander,Trevino,,0,0%,0,0%,0,0%,0%,0
Bryan,Travers,1983,2.33,48%,3.93,55%,2,28%,63%,0
Roberto,Traven,1968,0.92,50%,2.77,57%,0,0%,0%,0
Slim,Trabelsi,1993,0,0%,0,0%,0,0%,0%,0
